dia;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;241;NE;NORDESTE;PROSP_II;53.129
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;83;NE;NORDESTE;JS_PEREIRA;64.409
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;221;NE;NORDESTE;SYKUE I;72.874
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;58;NE;NORDESTE;TERMOCEARA;81.119
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;43;NE;NORDESTE;C.FURTADO;111.159
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;98;NE;NORDESTE;PERNAMBU_3;125.201
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;164;NE;NORDESTE;MURICY;141.351
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;112;NE;NORDESTE;BAHIA_1;141.38
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;112;NE;NORDESTE;BAHIA_1;141.38
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;112;NE;NORDESTE;BAHIA_1;141.38
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;112;NE;NORDESTE;BAHIA_1;141.38
